               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.011683,           0.0069938,                   0,             0.88332,             0.92994,             0.95287,             0.82208,            0.015109,           0.0052174,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.012321,           0.0067367,                   0,             0.90365,              0.9172,             0.95821,             0.83274,            0.014885,           0.0052306,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.012044,           0.0067941,                   0,             0.87616,             0.95541,             0.95464,             0.81876,            0.014587,           0.0050713,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.012831,            0.006834,                   0,             0.90163,             0.91083,             0.94739,             0.81535,            0.014621,           0.0052229,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.012195,           0.0071499,                   0,             0.91606,             0.91083,             0.95128,             0.82167,            0.014703,           0.0051998,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.011678,           0.0067167,                   0,             0.89448,             0.93631,             0.95409,             0.82358,            0.015149,            0.005188,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.012238,           0.0067894,                   0,             0.92852,             0.91014,             0.95713,             0.82176,            0.014924,           0.0052401,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.012126,           0.0064417,                   0,             0.93179,             0.90446,             0.95561,             0.82008,            0.014928,           0.0053312,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.012287,            0.006644,                   0,              0.9339,              0.9172,             0.95986,             0.83096,            0.014901,           0.0053272,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.012069,           0.0064666,                   0,             0.92917,             0.91915,             0.96124,             0.82395,            0.015038,           0.0053818,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.012159,           0.0065714,                   0,              0.9178,             0.92454,              0.9608,             0.82299,            0.015002,           0.0052696,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.012334,           0.0070684,                   0,             0.91331,             0.92994,             0.95879,             0.82652,            0.014891,           0.0053787,                   0,            0.001552,            0.001552,            0.001552
                 130,             0.01123,           0.0063766,                   0,             0.92295,              0.9172,             0.95485,             0.82573,            0.014965,           0.0054501,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.012224,           0.0062868,                   0,             0.92942,             0.90446,             0.96083,             0.82521,             0.01504,           0.0054958,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.012181,           0.0065629,                   0,             0.93602,             0.91083,             0.95509,              0.8193,            0.014996,           0.0054616,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.011876,           0.0067829,                   0,             0.92339,              0.9172,              0.9507,             0.82127,            0.014836,           0.0052236,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.012278,           0.0070224,                   0,             0.92844,              0.9172,             0.95037,             0.82017,            0.014885,           0.0052116,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.011325,           0.0067944,                   0,             0.90577,             0.93631,             0.94836,             0.81833,             0.01477,           0.0051817,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.011506,           0.0066124,                   0,             0.90555,             0.94268,             0.95131,             0.82347,            0.014599,           0.0051298,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.011265,           0.0065182,                   0,             0.91299,             0.93565,             0.95305,             0.82449,             0.01464,           0.0051339,                   0,            0.001024,            0.001024,            0.001024
